Texto,Idioma,Longitud
facturación de las infraestructuras de transporte,es,6
comprenderá que la presente resolución no merece mi apoyo incondicional,es,10
infinitas gracias señora de palacio,es,5
el debate queda cerrado,es,4
la votación tendrá lugar mañana a mediodía,es,7
se levanta la sesión a las  horas,es,7
aprobación del acta de la sesión anterior,es,7
el acta de la sesión de ayer ha sido distribuida,es,10
¿hay alguna observación,es,3
señor posselt naturalmente se corregirá el acta para que refleje la verdad,es,12
así será señor staes,es,4
el parlamento aprueba el acta,es,5
muchas gracias señora comisaria,es,4
el debate queda cerrado,es,4
la votación tendrá lugar a las  horas,es,7
competitividad de las industrias silvícolas y afines,es,7
muchas gracias señor comisario,es,4
el debate queda cerrado,es,4
la votación tendrá lugar a continuación,es,6
no vamos a iniciar un debate sobre esta cuestión,es,9
no es una cuestión de orden señora bordes,es,8
el parlamento aprueba la resolución,es,5
el parlamento aprueba la resolución,es,5
el parlamento aprueba la resolución,es,5
el parlamento aprueba la resolución,es,5
explicaciones de voto informe simpson a,es,6
comisión de derechos humanos de las naciones unidas en ginebra,es,10
informe hedkvist petersen a,es,4
informe poli bortone a,es,4
informe costa paolo a,es,4
informe karamanou a,es,3
por estas razones no podremos votar a favor de este informe,es,11
en todo el mundo las mujeres están infrarrepresentadas en las esferas de toma de decisiones,es,15
por las razones expuestas el partido comunista de grecia no ha participado en la votación,es,15
informe seppänen a,es,3
el desarrollo de la industria silvícola en el marco del desarrollo sostenible,es,12
garantizar la renovabilidad de los recursos,es,6
nl hay varias razones por las que el informe seppänen no ha merecido nuestro apoyo,es,15
la sesión interrumpida a las  horas se reanuda a las  horas,es,11
señor presidente señorías me refiero al orden del día de nuestros trabajos de esta tarde,es,15
debate de actualidad y urgencia,es,5
proceso a los antiguos jemeres rojos en camboya,es,8
el debate conjunto queda cerrado,es,5
la votación tendrá lugar esta tarde a las  horas,es,9
concesión de visados entre rusia y georgia,es,7
el debate conjunto queda cerrado,es,5
la votación tendrá lugar esta tarde a las  horas,es,9
situación en las cárceles turcas,es,5
situación en argelia,es,3
muchas gracias señor comisario,es,4
el debate queda cerrado,es,4
tribunal penal internacional,es,3
muchas gracias señor comisario,es,4
queda cerrado el debate,es,4
la votación tendrá lugar hacia las  horas,es,7
terremoto en el salvador,es,4
b del sr galeote quecedo y otros en nombre del grupo ppede sobre el salvador,es,15
b del sr wurtz en nombre del grupo guengl sobre el terremoto en el salvador,es,15
muchas gracias señor comisario,es,4
queda cerrado el debate,es,4
la votación tendrá lugar a las  horas,es,7
la sesión interrumpida a las  horas se reanuda a las  horas,es,11
visado para estancias de larga duración,es,6
muchas gracias señor comisario,es,4
el debate queda cerrado,es,4
le agradecemos a la familia fatuzzo sus comentarios sobre el informe deprez,es,12
por estas razones rechazamos el informe deprez,es,7
interrupción del periodo de sesiones,es,5
el parlamento ha agotado el orden del día,es,8
declaro interrumpida la sesión del parlamento europeo,es,7
se levanta la sesión a las  horas,es,7
reanudación del período de sesiones,es,5
declaro reanudado el período de sesiones del parlamento europeo interrumpido el jueves  de enero de,es,15
comunicaciones de la presidenta,es,4
desgraciadamente sólo podemos reafirmar nuestra indignación y nuestra condena absoluta a esta violencia ciega,es,14
les pido señorías que guarden un minuto de silencio,es,9
la asamblea de pie guarda un minuto de silencio,es,9
señorías debo hacerles ahora la comunicación siguiente,es,7
como él al regresar hoy digo i am back,es,9
gracias señor dupuis,es,3
la asamblea de pie guarda un minuto de silencio,es,9
aplausos del centro y de la izquierda,es,7
invito al sr newton dunn a que presente su dimisión,es,10
gracias señora frahm he oído su mensaje,es,7
la presidenta interrumpe al orador,es,5
cohesión económica y social,es,4
tiene la palabra el sr comisario michel barnier,es,8
el presidente interrumpe al orador,es,5
gracias señor comisario,es,3
este punto queda cerrado,es,4
permítanme comentar brevemente algunas de las interesantes intervenciones que se han hecho en este debate,es,15
situación en oriente medio,es,4
el presidente interrumpe a la oradora,es,6
muchas gracias señor comisario christopher patten,es,6
el debate queda cerrado,es,4
la votación tendrá lugar mañana a las  horas,es,8
muchas gracias señor comisario poul nielson,es,6
muchas gracias señor salafranca por la aclaración,es,7
señor howitt no voy a reanudar el debate sobre esa cuestión,es,11
el debate queda cerrado,es,4
la votación tendrá lugar mañana a las  horas,es,8
la sesión suspendida a las  horas se reanuda a las  horas,es,11
transporte por ferrocarril,es,3
el presidente retira la palabra al orador,es,7
cooperación y relaciones comerciales uepaíses industrializados de norteamérica extremo oriente y australasia,es,12
muchas gracias señor patten,es,4
el debate queda cerrado,es,4
la votación tendrá lugar mañana a las  horas,es,8
etiquetado de eficiencia energética,es,4
muchas gracias señora comisaria,es,4
el debate queda cerrado,es,4
la votación tendrá lugar mañana a las  horas,es,8
reconocimiento de las calificaciones profesionales,es,5
muchas gracias por su amabilidad señor bolkestein,es,7
el debate queda cerrado,es,4
reprise de la session,fr,4
le parlement debout observe une minute de silence,fr,8
et tout ceci dans le respect des principes que nous avons toujours soutenus,fr,13
ordre des travaux,fr,3
en ce qui concerne le mercredi,fr,6
applaudissements du groupe pse,fr,4
applaudissements du groupe ppede,fr,4
merci monsieur poettering,fr,3
nous entendons à présent m wurtz qui s exprime contre cette demande,fr,12
le parlement rejette la demande avec  voix pour  voix contre et  abstentions,fr,12
effectivement si on ajoute les deux collègues qui se sont manifestés nous obtenons comme résultat,fr,15
nous poursuivons avec les autres modifications de l ordre du jour,fr,11
le parlement adopte lordre des travaux ainsi modifié,fr,8
conseillers à la sécurité pour le transport de marchandises dangereuses,fr,10
le débat est clos,fr,4
le vote aura lieu demain à  heures,fr,7
transport de marchandises dangereuses par route,fr,6
le débat est clos,fr,4
le vote aura lieu demain à  heures,fr,7
coordination fonds structurelsfonds de cohésion,fr,5
le débat est clos,fr,4
le vote aura lieu demain à midi,fr,7
situation développement social et économique des régions de l union,fr,10
monsieur le président jadresse mes compliments au rapporteur pour son excellent rapport,fr,12
merci beaucoup monsieur le commissaire,fr,5
le débat est clos,fr,4
le vote aura lieu demain à midi,fr,7
la séance est levée à h,fr,6
adoption du procèsverbal de la séance précédente,fr,7
le procèsverbal de la séance dhier a été distribué,fr,9
y atil des observations,fr,4
cest logique m wynn le rapport est donc retiré de lordre du jour,fr,13
le procèsverbal est adopté,fr,4
réforme de la politique européenne de concurrence,fr,7
lordre du jour appelle en discussion commune les rapports suivants,fr,10
merci beaucoup monsieur le commissaire monti,fr,6
la discussion commune est close,fr,5
le vote aura lieu demain à  heures,fr,7
protection pénale des intérêts financiers de lunion,fr,7
merci beaucoup madame schreyer,fr,4
le vote aura lieu demain à  heures,fr,7
le parlement approuve la proposition de la commission,fr,8
proposition de directive du parlement européen et du conseil relative au,fr,11
le parlement approuve la proposition de la commission,fr,8
le parlement approuve la proposition de la commission,fr,8
procédure sans débat,fr,3
le parlement approuve la résolution législative,fr,6
le président déclare approuvée la position commune ainsi modifiée,fr,9
le parlement adopte la résolution législative,fr,6
le parlement adopte la résolution,fr,5
le parlement adopte la résolution,fr,5
le parlement adopte la résolution,fr,5
le parlement adopte la résolution,fr,5
le parlement adopte la résolution,fr,5
le parlement adopte la résolution,fr,5
explications de vote ressources propres,fr,5
rapport koch a,fr,3
rapport koch a,fr,3
rapport schroedter a,fr,3
rapport berend a,fr,3
rapport von wogau a,fr,4
rapport rapkay a,fr,3
doù notre vote contre ce rapport,fr,6
rapport jonckheer a,fr,3
rapport langen a,fr,3
la séance suspendue à h est reprise à  heures,fr,9
marée noire en france,fr,4
lordre du jour appelle la déclaration de la commission sur la marée noire en france,fr,15
mme de palacio a la parole au nom de la commission pour ouvrir le débat,fr,15
si nous y parvenons nous nous en trouverons peutêtre mieux dans quelques années,fr,13
cela étant dit je voudrais formuler quelques observations,fr,8
le président retire la parole à l orateur,fr,8
je vous remercie madame la commissaire nous avons pris bonne note de votre disponibilité,fr,14
le débat est clos,fr,4
le vote aura lieu jeudi à  heures,fr,7
tempêtes en europe,fr,3
lordre du jour appelle la déclaration de la commission sur les tempêtes en europe,fr,14
la parole est à m barnier au nom de la commission,fr,11
le président retire la parole à loratrice,fr,7
le vote aura lieu jeudi à  heures,fr,7
le débat est clos,fr,4
heure des questions commission,fr,4
lordre du jour appelle lheure des questions à la commission b,fr,11
la parole est à m purvis pour une motion de procédure,fr,11
question no  de h,fr,4
la parole est à m verheugen au nom de la commission,fr,11
question no  de h,fr,4
la parole est à mme wallström au nom de la commission,fr,11
merci m bowe pour votre question,fr,6
pendant combien de temps poursuivrezvous la surveillance des effets de ces armes,fr,12
question no  de h,fr,4
quand la commission entendelle nommer ce délégué aux affaires tibétaines,fr,10
la parole est à m patten au nom de la commission,fr,11
question no  de h,fr,4
la parole est à m patten au nom de la commission,fr,11
son auteur étant absent la question no  est caduque,fr,9
questions adressées à m nielson remplacé par m patten,fr,9
question no  de h,fr,4
la commission estelle disposée à prendre des mesures dans ce sens,fr,11
question no  de h,fr,4
questions adressées à mme diamantopoulou,fr,5
question no  de h,fr,4
question no  de h,fr,4
question no  de h,fr,4
question no  de h,fr,4
question no  de h,fr,4
en fonction de quels critères la commission accepteratelle ou rejetteratelle les programmes des états membres,fr,15
question no  de h,fr,4
question no  de h,fr,4
mme la commissaire acquiesce et prend bonne note de lintervention de mme izquierdo rojo,fr,14
question no  de h,fr,4
son auteur étant absent la question no  est caduque,fr,9
question no  de h,fr,4
question no  de h,fr,4
lheure des questions à la commission est close,fr,8
la séance suspendue à h est reprise à  heures,fr,9
merci beaucoup madame la commissaire schreyer,fr,6
le débat est clos,fr,4
le vote aura lieu demain à  heures,fr,7
suites à donner au second rapport du comité des experts indépendants,fr,11
je trouve ce rapport redondant prolixe confus et dépourvu de précision quant aux concepts utilisés,fr,15
la commission salue donc le paragraphe  du rapport van hulten,fr,10
le débat est clos,fr,4
le vote aura lieu demain à midi,fr,7
la séance est levée à h,fr,6
adoption du procèsverbal de la séance précédente,fr,7
le procèsverbal de la séance dhier a été distribué,fr,9
y atil des observations,fr,4
oui monsieur provan nous allons examiner cela lors du prochain bureau,fr,11
merci madame terrón i cusí nous allons examiner cela bien sûr avec le conseil,fr,14
le procèsverbal est adopté,fr,4
programme dactivité de la présidence portugaise y compris la situation en angola,fr,12
je vous remercie monsieur le président en exercice du conseil,fr,10
le débat est clos,fr,4
processus de paix au moyenorient,fr,5
je vous remercie monsieur le président en exercice du conseil pour votre déclaration,fr,13
nous interrompons ici le débat pour laisser place au vote,fr,10
par des votes successifs le parlement adopte les deux décisions et la résolution,fr,13
concernant le paragraphe,fr,3
nous allons procéder ainsi,fr,4
concernant l amendement,fr,3
nous maintenons notre amendement,fr,4
concernant le paragraphe  amendement,fr,4
cest pourquoi nous avons voté aujourdhui contre le rapport de mme theato,fr,12
rapport van der laan a,fr,5
rapport van hulten a,fr,4
la séance suspendue à h est reprise à  heures,fr,9
processus de paix au moyenorient suite,fr,6
je communique avoir reçu six propositions de résolution conformément à larticle  paragraphe  du règlement,fr,14
le débat est clos,fr,4
le vote aura lieu demain,fr,5
espace liberté sécurité et justice,fr,5
monsieur le président cette situation ne peut continuer et il faut y remédier,fr,13
le président retire la parole à lorateur,fr,7
merci beaucoup monsieur le ministre,fr,5
le débat est clos,fr,4
heure des questions conseil,fr,4
lordre du jour appelle lheure des questions au conseil b,fr,10
question no de h,fr,4
question no de h,fr,4
question nº de h,fr,4
son auteur étant absent la question no  est caduque,fr,9
question no de h,fr,4
question no de h,fr,4
question nº de h,fr,4
son auteur étant absent la question no  est caduque,fr,9
je ne vois pas de meilleur moyen que celuilà pensez­vous pouvoir le faire,fr,13
m dimitrakopoulos a la parole pour une motion de procédure je lui demande dêtre bref,fr,15
lheure des questions au conseil est close,fr,7
impôt sur le capital,fr,4
lordre du jour appelle en discussion commune,fr,7
deuxièmement les capitaux spéculatifs sont difficilement identifiables,fr,7
jai reçu quatre propositions de résolution déposées sur la base de larticle  paragraphe  du règlement,fr,15
le débat est clos,fr,4
le vote aura lieu jeudi à  heures,fr,7
la séance est levée à h,fr,6
le parlement observe une minute de silence,fr,7
adoption du procèsverbal de la séance précédente,fr,7
le procèsverbal de la séance d hier a été distribué,fr,10
y atil des observations,fr,4
le procèsverbal est adopté,fr,4
merci monsieur varela,fr,3
résultats des programmes dorientation pluriannuels pour les flottes de pêche à la fin de,fr,14
m hudghton a demandé la parole à ce sujet,fr,9
monsieur le président je suis contre la proposition qui a été formulée,fr,12
la parole est à m maccormick,fr,6
le parlement rejette la demande,fr,5
la commission doit veiller dans l exercice de ses compétences à l intérêt communautaire,fr,14
merci madame la commissaire palacio,fr,5
le débat est clos,fr,4
le vote aura lieu aujourd hui à h,fr,8
rendement des ballasts pour léclairage fluorescent,fr,6
merci beaucoup madame de palacio,fr,5
le débat est clos,fr,4
le vote aura lieu aujourd hui à h,fr,8
le parlement adopte la résolution législative,fr,6
proposition de résolution commune,fr,4
sur la marée noire causée par le naufrage de l,fr,10
le parlement adopte la résolution conjointe,fr,6
proposition de résolution commune sur les récentes tempêtes en europe,fr,10
le parlement adopte la résolution conjointe,fr,6
proposition de résolution commune sur le processus de paix au moyenorient,fr,11
avant le vote,fr,3
le parlement adopte la résolution commune,fr,6
proposition de résolution commune sur les mouvements internationaux de capitaux,fr,10
le parlement rejette la proposition de résolution commune,fr,8
le parlement rejette la proposition de résolution,fr,7
le parlement rejette la proposition de résolution,fr,7
le parlement rejette la proposition de résolution,fr,7
le parlement rejette la proposition de résolution,fr,7
le parlement adopte la proposition de résolution,fr,7
explications de vote,fr,3
rapport turmes a,fr,3
résolution commune sur la marée noire en france,fr,8
résolution commune sur les tempêtes en europe,fr,7
résolution commune sur le processus de paix au moyenorient,fr,9
résolution sur la taxation des mouvements internationaux de capitaux,fr,9
rapport cunha a,fr,3
merci sur ces bonnes paroles nous concluons le vote,fr,9
la séance suspendue à h est reprise à  heures,fr,9
l ordre du jour appelle en discussion commune les propositions de résolution sur la tchétchénie,fr,15
b de m haarder et autres au nom du groupe eldr sur la tchétchénie,fr,14
le président retire la parole à l orateur,fr,8
la discussion commune est close,fr,5
le vote aura lieu à h,fr,6
b de m van den bos au nom du groupe eldr sur la côted ivoire,fr,15
b de mme rod et autres au nom du groupe vertsale sur la côted ivoire,fr,15
le débat est clos,fr,4
la vote aura lieu à h,fr,6
droits de lhomme,fr,3
l ordre du jour appelle en discussion commune les propositions de résolution suivantes,fr,13
b de mme morgantini au nom du groupe guengl sur les violences interconfessionnelles en égypte,fr,15
prisonniers de la guerre du golfe en irak,fr,8
le débat est clos,fr,4
le vote aura lieu tout à lheure à h,fr,9
situation aux îles moluques indonésie,fr,5
b de mme maijweggen au nom du groupe ppede sur les moluques et lindonésie,fr,14
b de mm schori et wiersma au nom du groupe pse sur les moluques,fr,14
b de m maaten au nom du groupe eldr sur les moluques,fr,12
b de mm lagendijk et autres au nom du groupe vertsale sur les moluques,fr,14
monsieur le président je prends la parole au nom de mon collègue wiersma,fr,13
le débat est clos,fr,4
le vote aura lieu à h,fr,6
l ordre du jour appelle le débat sur les  propositions de résolution suivantes,fr,13
le débat est clos,fr,4
le vote aura lieu à h,fr,6
la séance est suspendue jusquà h,fr,6
la séance est à nouveau suspendue de h à  heures présidence de m provan,fr,14
nous en arrivons au vote sur les problèmes d actualité urgents et d importance majeure,fr,15
pendant le vote sur la tchétchénie,fr,6
vous avez tout à fait raison monsieur posselt le texte sera adapté en conséquence,fr,14
avant le vote sur l égypte,fr,6
à nouveau nous veillerons à rectifier la traduction allemande,fr,9
après le vote sur les îles moluques indonésie,fr,8
ce sera fait,fr,3
marché intérieur et protection juridique des consommateurs,fr,7
monsieur le président l une des autres solutions consiste à rechercher une orientation différente,fr,14
le débat est clos,fr,4
femmes et sciences,fr,3
le président retire la parole à lorateur,fr,7
le débat est clos,fr,4
le vote aura lieu à la prochaine période de session,fr,10
la séance est levée à h,fr,6
adoption du procèsverbal de la séance précédente,fr,7
le procèsverbal de la séance dhier a été distribué,fr,9
y atil des observations,fr,4
nous en tiendrons dûment compte monsieur wyn,fr,7
la présidence prend note de votre remarque monsieur hudghton,fr,9
monsieur ford nous allons vérifier le procèsverbal sera dûment modifié le cas échéant,fr,13
le procèsverbal est adopté,fr,4
politique commune de la pêche renforcement du dialogue industriemilieux concernés,fr,10
merci beaucoup madame la commissaire,fr,5
oui monsieur van dam le vote par appel nominal est prévu,fr,11
le débat est clos,fr,4
nous passons maintenant au vote,fr,5
le parlement adopte la résolution législative explications de votes,fr,9
coopérants en colombie,fr,3
lordre du jour appelle en discussion commune les questions orales suivantes,fr,11
merci beaucoup madame diamantopoulou,fr,4
le débat est clos,fr,4
nous passons maintenant au vote,fr,5
proposition de résolution commune sur la protection du personnel coopérant et humanitaire,fr,12
le parlement adopte la résolution,fr,5
explications de vote,fr,3
mesdames et messieurs lordre du jour est épuisé,fr,8
interruption de la session,fr,4
je déclare interrompue la session du parlement européen,fr,8
la séance est levée à h,fr,6
reprise de la session,fr,4
je déclare reprise la session du parlement européen qui avait été interrompue le vendredi  janvier,fr,15
madame je vous remercie et je prends bonne note de votre intervention,fr,12
ordre du jour,fr,3
quelqu un désiretil intervenir en faveur de cette proposition,fr,9
un collègue désiretil intervenir contre cette proposition,fr,7
madame la présidente je croyais que j avais trois minutes veuillez m excuser,fr,13
le parlement marque son accord,fr,5
ce débat est inscrit au début de notre ordre du jour,fr,11
lordre du jour appelle le débat sur des problèmes dactualité urgents et dimportance majeure,fr,14
négociations en autriche en vue de la constitution du gouvernement,fr,10
les ambassadeurs autrichiens dans les capitales de lunion seront reçus uniquement au niveau technique,fr,14
madame la présidente mesdames et messieurs les députés permettezmoi dajouter une très brève réflexion,fr,14
applaudissements à droite vives protestations à gauche,fr,7
vifs applaudissements du groupe ppede,fr,5
applaudissements du groupe pse,fr,4
la présidente retire la parole à l orateur,fr,8
la présidente retire la parole à lorateur,fr,7
voilà madame la présidente lhypocrisie de la gauche,fr,8
madame la présidente mes chers collègues lautriche doit faire face à une lourde responsabilité,fr,14
merci monsieur le commissaire kinnock,fr,5
le débat sur des problèmes dactualité urgents et dimportance majeure est clos,fr,12
le vote aura lieu demain à  heures,fr,7
recours au principe de précaution,fr,5
merci beaucoup madame la commissaire,fr,5
le débat est clos,fr,4
le président retire la parole à lorateur,fr,7
prestations de services transfrontaliers,fr,4
lordre du jour appelle en discussion commune les rapports suivants,fr,10
merci monsieur le commissaire bolkestein,fr,5
le débat est clos,fr,4
le vote aura lieu demain à  heures,fr,7
tribunal de première instance,fr,4
merci monsieur le commissaire,fr,4
le débat est clos,fr,4
le vote aura lieu demain à  heures,fr,7
aide financière exceptionnelle au kosovo,fr,5
je suis tout à fait d accord et nous le ferons,fr,11
le débat est clos,fr,4
le vote aura lieu demain à  heures,fr,7
monsieur le président pour commencer permettezmoi de féliciter m langen pour son travail,fr,13
merci madame la commissaire,fr,4
le débat est clos,fr,4
le vote aura lieu demain à  heures,fr,7
merci madame la commissaire je crois que nous pouvons remercier encore une fois notre rapporteur,fr,15
le débat est clos,fr,4
le vote aura lieu demain à  heures,fr,7
la séance est levée à h,fr,6
véhicules hors d usage,fr,4
applaudissements du groupe pse,fr,4
merci beaucoup madame la commissaire,fr,5
le débat est clos,fr,4
nous passons maintenant au vote,fr,5
le parlement adopte la résolution,fr,5
le parlement approuve le projet commun,fr,6
le parlement approuve le projet commun,fr,6
le parlement approuve le projet commun,fr,6
la présidente déclare la position commune approuvée telle que modifiée,fr,10
le parlement adopte la résolution législative,fr,6
le parlement adopte la résolution législative,fr,6
par des votes successifs le parlement adopte les deux résolutions législatives,fr,11
je prends acte de ce que vous venez de dire monsieur speroni,fr,12
le parlement adopte la résolution législative,fr,6
le parlement adopte la résolution,fr,5
proposition de résolution commune sur les négociations gouvernementales en autriche,fr,10
plus de douze députés se lèvent le parlement adopte la résolution,fr,11
explications de vote,fr,3
rapport mcnally a,fr,3
deuxième lecture florenz a,fr,4
mais il est deux considérations auxquelles il faut absolument veiller dans ce texte,fr,13
mon parti soppose à cette mesure et aux amendements proposés,fr,10
rapport berger a,fr,3
rapport berger a et berger a,fr,6
la seconde proposition confère les mêmes droits aux travailleurs indépendants ressortissants de pays tiers,fr,14
rapport marinho a,fr,3
les propositions de modification du conseil nous inspiraient de fortes réserves,fr,11
rapport dimitrakopoulos leinen a,fr,4
cest pourquoi je vote contre le rapport,fr,7
nos priorités doivent être,fr,4
le nombre et la responsabilité des commissaires,fr,7
la pondération du vote au sein du conseil,fr,8
résolution commune sur lautriche,fr,4
la présidente retire la parole à l orateur,fr,8
leurope a sans doute poussé cette semaine son premier cri politique,fr,11
quon ne compte pas sur moi pour que je reste inerte et muet,fr,13
de je fais cette déclaration au nom du groupe csu,fr,10
ainsi sachève lheure des votes,fr,5
interruption de la session,fr,4
je déclare interrompue la session du parlement européen,fr,8
la séance est levée à h,fr,6
reprise de la session,fr,4
je déclare reprise le session du parlement européen qui avait été interrompue le jeudi  février,fr,15
adoption du procèsverbal de la séance précédente,fr,7
le procèsverbal de la séance du jeudi  février dernier a été distribué,fr,12
y atil des observations,fr,4
l adoption du procèsverbal est donc reportée,fr,7
merci monsieur davies je vais voir cette question avec le collège des questeurs,fr,13
ordre des travaux,fr,3
a séances du  au  février  à strasbourg en ce qui concerne le mercredi,fr,13
qui souhaite au nom de ces groupes présenter cette demande,fr,10
personne ne souhaitant intervenir je mets donc aux voix cette demande,fr,11
le parlement marque son accorden ce qui concerne le jeudi,fr,10
le parlement rejette la demande,fr,5
la présidente nous passons à présent à la demande du groupe libéral,fr,12
y atil quelquun pour intervenir pour,fr,6
le parlement marque son accord,fr,5
le parlement marque son accord,fr,5
c est cela nous sommes bien d accord,fr,8
b séances des er et  mars  à bruxelles,fr,8
développement urbain durable  développement rural  initiative equal,fr,7
l ordre du jour appelle en discussion commune les quatre rapports suivants,fr,12
nous voulons une europe des citoyens pas une europe des bureaucrates,fr,11
monsieur le président jémettrai certaines observations très brèves,fr,8
mon groupe soutiendra lamendement,fr,4
cest pourquoi je voudrais souligner trois questions,fr,7
je désire encore féliciter notre collègue procacci pour lexcellent rapport quil nous a présenté,fr,14
le débat est clos,fr,4
le vote aura lieu demain à midi,fr,7
la séance est levée à h,fr,6
adoption des procèsverbaux des deux séances précédentes,fr,7
y atil des observations sur les procèsverbaux,fr,7
les procèsverbaux sont adoptés,fr,4
madame la présidente jai vécu hier la même expérience que m medina ortega,fr,13
tout à fait monsieur napolitano je vous remercie,fr,8
puisque ce nest pas le cas je la mets aux voix,fr,11
le parlement marque son accord,fr,5
monsieur corbett je nai entendu parler de rien,fr,8
ordre du jour,fr,3
le parlement marque son accord,fr,5
objectifs stratégiques et programme législatif de la commission,fr,8
je donne tout de suite la parole au président prodi,fr,10
sans ces perspectives leurope naurait pas davenir,fr,7
cher collègue je vous remercie,fr,5
souhaits de bienvenue,fr,3
nous passons maintenant à lheure des votes,fr,7
le parlement rejette la proposition de résolution,fr,7
proposition de résolution b espace liberté sécurité et justice,fr,9
le parlement adopte la résolution,fr,5
le parlement adopte la résolution,fr,5
le parlement adopte la résolution,fr,5
le parlement approuve la résolution,fr,5
explications de vote,fr,3
résolution espace liberté sécurité et justice,fr,6
rapport mccarthy a,fr,3
rapport decourrière a,fr,3
l initiative communautaire interreg est un élément d une politique régionale européenne néfaste,fr,13
rapport procacci a,fr,3
je vous remercie pour votre attention,fr,6
nous estimons que leader  sera plus inefficace que leader  et leader  pour les raisons suivantes,fr,15
la séance suspendue à h est reprise à  heures,fr,9
additifs dans lalimentation des animaux,fr,5
merci monsieur le commissaire le parlement prend bonne note de vos remarques,fr,12
le débat est clos,fr,4
le vote aura lieu demain à h,fr,7
merci monsieur le commissaire,fr,4
le débat est clos,fr,4
le vote aura lieu demain à h,fr,7
politique communautaire dans le domaine de leau,fr,7
le débat est suspendu et reprendra à  heures,fr,8
dialogue sur l europe  enjeux de la réforme institutionnelle,fr,9
le débat est clos,fr,4
heure des questions commission,fr,4
lordre du jour appelle lheure des questions à la commission b,fr,11
question nº  de h,fr,4
question nº  de h,fr,4
question nº  de h,fr,4
nous remercions m patten davoir représenté la commission dans ces réponses,fr,11
question nº  de h,fr,4
question nº  de h,fr,4
merci beaucoup monsieur vitorino de limportante contribution que vous avez apportée à lheure des questions,fr,15
questions adressées à mme wallström,fr,5
question nº  de h,fr,4
question nº  de h,fr,4
question nº  de h,fr,4
questions adressées à m barnier,fr,5
question nº  de h,fr,4
voilà monsieur le député la réponse que je peux vous faire,fr,11
question nº  de h,fr,4
question nº  de h,fr,4
question nº  de h,fr,4
questions adressées à m bolkestein,fr,5
merci beaucoup monsieur barnier pour vos réponses,fr,7
les questions  à  recevront des réponses écrites,fr,7
question nº  de h,fr,4
son auteur étant absent la question nº  est caduque,fr,9
leur objet étant apparenté les questions nº  et  recevront une réonse commune,fr,12
jappelle simultanément la,fr,3
question nº  de h,fr,4
la commission voudraitelle indiquer quelle est sa position face à la dérogation suédoise visée cidessus,fr,15
question nº  de h,fr,4
lheure des questions à la commission est close,fr,8
la séance suspendue à h est reprise à  heures,fr,9
politique communautaire dans le domaine de l eau suite,fr,9
madame la commissaire landalousie nest pas la laponie,fr,8
je vous remercie madame wallström,fr,5
le débat est clos,fr,4
le vote aura lieu demain à h,fr,7
instrument financier pour l environnement life,fr,6
je vous remercie madame wallström,fr,5
le débat est clos,fr,4
le vote aura lieu demain à h,fr,7
modernisation de la protection sociale,fr,5
je vous remercie madame diamantopoulou,fr,5
le débat est clos,fr,4
le vote aura lieu demain à h,fr,7
traité de l ompi,fr,4
je vous remercie monsieur le commissaire,fr,6
le débat est clos,fr,4
le vote aura lieu demain à h,fr,7
la séance est suspendue à h,fr,6
adoption du procèsverbal de la séance précédente,fr,7
le procèsverbal de la séance dhier a été distribué,fr,9
y atil des observations,fr,4
le procèsverbal est approuvé,fr,4
cohérence des différentes politiques de lunion avec la politique du développement,fr,11
je sais que nous faisons beaucoup de bonnes choses mais attachonsnous à l essentiel,fr,14
merci monsieur le commissaire nielson,fr,5
le débat est clos,fr,4
le vote aura lieu jeudi à  heures,fr,7
prochaine session droits de lhomme de lonu,fr,7
merci monsieur le commissaire patten,fr,5
souhaits de bienvenue,fr,3
le président déclare la position commune approuvée telle que modifiée,fr,10
le parlement adopte la résolution législative,fr,6
le parlement adopte la résolution législative,fr,6
avant le vote final,fr,4
le parlement décide du renvoi du rapport en commission,fr,9
avant le vote,fr,3
applaudissements à gauche protestations à droite,fr,6
applaudissements vifs et prolongés au centre et à droite protestations à gauche,fr,12
souhaits de bienvenue,fr,3
jespère que la délégation passe un excellent séjour à strasbourg,fr,10
nous passons maintenant au vote sur le rapport a de mme stenzel concernant linitiative equal,fr,15
le parlement adopte la résolution,fr,5
avant le vote,fr,3
la commission peut accepter en principe les amendements                                  et,fr,9
toutefois la commission ne peut pas accepter les amendements                               rev    et,fr,11
merci de votre attention,fr,4
le président déclare la position commune approuvée telle que modifiée,fr,10
le parlement adopte la résolutionle président ceci conclut le vote,fr,10
explications de vote rapport lienemann a,fr,6
rapport böge a,fr,3
rapport cederschiöld a,fr,3
rapport graefe zu baringdorf a,fr,5
rapport stenzel a,fr,3
rapport lieneman a,fr,3
les nouveaux indices pour l eau doivent être obligatoires,fr,9
il faut prévoir la protection des eaux souterraines contre la pollution,fr,11
il faut insérer des dispositions concernant l épuration des eaux souterraines polluées,fr,12
il faut fixer un calendrier plus court pour l application de la directive,fr,13
fin de la fiction,fr,4
telles sont les raisons de notre vote,fr,7
l eau est une ressource naturelle renouvelable et limitée sa bonne gestion est essentielle,fr,14
rapport andersson a,fr,3
ceci conclut les explications de vote,fr,6
la séance suspendue à h est reprise à  heures,fr,9
prochaine session droits de lhomme de lonu suite,fr,8
le débat est clos,fr,4
le vote aura lieu jeudi,fr,5
chypre et malte,fr,3
l ordre du jour appelle en discussion commune,fr,8
